name,icao,latitude,longitude,adress,city,country
SAUMUR-SAINT-FLORENT AIRPORT,LFOD,47.256802,-0.115142,,Saumur,FR
STRASBOURG-ENTZHEIM,LFST,48.538299560546875,7.628230094909668,Avenue de Strasbourg ENTZHEIM 67960,Strasbourg,FR
TARBES-LOURDES-PYRENEES,LFBT,43.1786994934082,-0.006438999902456999,B.P. 3 JUILLAN 65290,Tarbes,FR
TOULOUSE-BLAGNAC,LFBO,43.629101,1.36382,B.P. 103 BLAGNAC 31700,Toulouse,FR
TOURS-VAL-DE-LOIRE,LFOT,47.4322013855,0.727605998516,"40, Rue de l'aéroport TOURS 37100",Tours,FR
TROYES-BARBEREY,LFQB,48.322102,4.0167,BARBEREY SAINT-SULPICE 10600,Troyes,FR
VALENCE-CHABEUIL,LFLU,44.9216,4.9699,CHABEUIL 26120,Valence,FR
VALENCIENNES-DENAIN,LFAV,50.325801849365234,3.4612600803375244,PROUVY 59121,valenciennes,FR
VANNES-MEUCON AIRPORT,LFRV,47.72330093383789,-2.718559980392456,,Vannes,FR
VERDUN-LE ROZELIER AIRFIELD,LFGW,49.122398,5.46905,,Verdun,FR
VESOUL-FROTEY AIRPORT,LFQW,47.6376,6.20392,,Vesoul,FR
VICHY-CHARMEIL,LFLV,46.169700622558594,3.4037399291992188,BP 2158 VICHY 03201 CEDEX,Vichy,FR
PONTE-A-PITRE-LE-RAIZET,TFFR,16.265301,-61.531799,Morne Maniel ABYMES 97139,Point à Pitre,FR
MARTINIQUE-AIMEE-CESAIRE,TFFF,14.590999603271484,-61.00320053100586,B.P. 279 LE LAMENTIN  97285 CEDEX 2,Le Lamentin,FR
SAINT-DENIS-ROLAND-GARROS,FMEE,-20.887100219726562,55.51029968261719,Concession Aéroportuaire SAINTE-MARIE 97438,Saint denis,FR
CAYENNE-ROCHAMBEAU,SOCA,4.819809913639999,-52.360401153599994,MATOURY 97351,Cayenne,FR
NOUMEA-LA-TONTOUTA,NWWW,-22.01460075378418,166.21299743652344,B.P. 2 L A TONTOUTA- NOUVELLE CALEDONIE 98840,Nouméa,FR
